Japan登録名	Zen登録名
国立	Kunitachi
となみ	となみ
	渋谷区, 東京 @ tanQ
	Oyama
矢吹	Yabuki
加西	加西
鎌ケ谷	Kamagaya, Chiba
	かみのかわ@上三川いきいきプラザ
茨木	茨木
室蘭	muroran@kuru
青梅	OME, Tokyo @ City Welfare Council
大田・邑南、他	Shimane @ Ohda
大田・邑南、他	Shimane @ Gotsu
大田・邑南、他	Shimane @ Hamada
大田・邑南、他	Shimane @ Ohnan
大田・邑南、他	Shimane @ Unnan
	Tokyo, Shibuya @ YouMeWe
	Nerima @ Hikarigaoka
笠岡	笠岡
	福山市神辺町
宇治	Uji, Kyoto
一関平泉	Ichinoseki, Hiraizumi
伊勢原	Isehara @ Civic Support Center
浦和@Urawa Minecraft Club	Urawa @ Urawa Minecraft Club
八戸@吹上	八戸@吹上
大田・邑南、他	Shimane @ Masuda
藤井寺・柏原	Fujiidera
	山口市 @ Otoshi CEC
	天六 @ 5.6
	彦根@Eco-lab
東住吉	Higashi-Sumiyoshi, Osaka
武蔵小杉	MusashiKosugi
富山	富山@長江
さが	Saga
長門	Nagato @ non profit organization TSUNAGU
富谷	富谷
	Tokyo Central @ Minato City, Tokyo
	まつのIoTラボ
藤井寺・柏原	Kashiwara
春日	Kasuga@春日市ふれあい文化センター
麹町@アドバンスト・ソフト	麹町@アドバンスト・ソフト
なんと@よってカフェ	なんと@よってカフェ
福山大門	Fukuyama Daimon@ Community Center
	佐用 @ Cobaco
	Kasukabe @ RES
滑川	滑川
西那須野	Nishinasuno@Minami comunity center
木曽	Kiso @ Mintsuku
野田	野田
	Teshikaga @ Mashu Garden
恵那	Ena
八千代	Yachiyo @ Syougai
横浜師岡	Morooka, Yokohama @ Morooka Community House
池田石橋	Ishibashi, Ikeda @ Shoufukuji
	舟橋
たまち	たまち
	IIDA@logicaland
八尾	八尾@yotteco
平群	平群
二本松	二本松@市民交流センター
田町@VMware	Tamachi@VMware
	住吉
	たかおか@Fablab
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
